CUSTOMER_CODE;CUSTOMER_NAME;CUSTOMER_ADDRESS;DIST_CHANNEL;CHANNEL_NAME;BRANCH_ID;BRANCH_DESC;PHONE1;FAX;CITY;POSTAL_CODE;NPWP;GRUP
67364;RSU.AN-NISA;JL.GATOT SUBROTO NO.96 KM.3 CIBODAS, KOTA TANGERANG;21;RS Swasta;TGR;TANGERANG;;;TANGERANG;15111;01.477.708.0.402.000;
523470;RS.EKA HOSPITAL (PT.PELITA RELIANCE INTERNATIONAL ;EKA HOSPITAL CENTRAL BUSINESS DISTRICT LOT IX SERPONG TANGERANG;21;RS Swasta;TGR;TANGERANG;25655555;;TANGERANG;15111;02.275.900.5-411.000;
1048928;AP. BISMILLAH FARMA;JL. UBUNG - RAYA, SWETA - PRAYA, DESA UBUNG JONGGAT;14;Apotek;MTR;MATARAM;;;LOMBOK TENGAH;83561;83.968.660.7-915.000;
47361;PT.MATAHARI PUTRA PRIMA;DS.BALARAJA TOBAT KM.26;40;Hypermarket;JK3;JAKARTA-3;;;TANGERANG;15610;01.394.013.5-092.000;FOOD MART
1070559;AP. RAMA;JL. PDT.J.SIHOMBING NO 22 PEMATANG SIANTAR;14;Apotek;PMS;PEMATANG SIANTAR;;;PEMATANG SIANTAR;21135;90.855.491.8-117.000;
953557;PT. TRI SAPTA JAYA;JL. MESJID NO. 05 SIBOLGA;68;Sub Distributor;PMS;PEMATANG SIANTAR;;;SIBOLGA;22522;;TRI SAPTA JAYA
329073;TOKO RAGAM PESONA;JL. S.PARMAN BULUKUMBA;32;Toko Kelontong;MKS;MAKASSAR;;;BULUKUMBA;92517;;
1375227;AP. SEJATI FARMA;JL. RAPPOCINI RAYA NO.107, MAKASSAR;14;Apotek;MKS;MAKASSAR;;;MAKASSAR;90222;96.806.074.9-805.000;
997816;INDOGROSIR;JL. PERINTIS KEMERDEKAAN NO.17 MKS;46;Supermarket - NKA;MKS;MAKASSAR;;;MAKASSAR;90243;01.781.214.0-046.000;INDO GROSIR
1069237;AP. ALFA MEDIKA;JL. CENDRAWASIH NO. 376A RT. 001 RW.001 MAKASSAR;14;Apotek;MKS;MAKASSAR;;;MAKASSAR;90134;94.189.239.0-804.000;
632870;TK. GANI;JL. RENDE NO. 230 CIKALONG WETAN BANDUNG BARAT;32;Toko Kelontong;BDG;BANDUNG;;;BANDUNG BARAT;40556;;
1023085;AP. HINDA FARMA;JL. MON EMMY SAELAN 3 NO.A10 KARUNRUNG, RAPPOCINI KOTA MAKASSAR SULAWESI SELATAN;14;Apotek;MKS;MAKASSAR;;;MAKASSAR;90222;84.418.819.3-805.000;
640008;PT. MIDI UTAMA INDONESIA;JL. KIMA VIII BLOK SS NO. 23 MAKASSAR;49;Mini Market - NKA;MKS;MAKASSAR;;;MAKASSAR;90241;02.672.927.7-054.000;PT. MIDI UTAMA INDONESIA
914164;AP. JADI SEHAT;JL. OTTO ISKANDARDINATA NO. 578A NYENGSERET - ASTANA ANYAR;14;Apotek;BDG;BANDUNG;;;BANDUNG;40242;03.320.598.0-422.000;
998001;AP. ASYIFA;JL. TOLE ISKANDAR NO.61 RT.006/014,SUKAMAJU,CILODONG,DEPOK;14;Apotek;DPK;DEPOK;;;DEPOK;16415;34.367.875.1-412.000;
1056766;AP. TUGU FARMA CIMANGGIS;JL. RTM NO.16 RT01 RW11. KEL. TUGU KEC. CIMANGGIS KOTA DEPOK;14;Apotek;DPK;DEPOK;;;DEPOK;16451;098144512412000;
996884;PT. SILOAM INTERNATIONAL HOSPITALS Tbk;JLN. RA KARTINI NO.8 RT.001 RW.004 CILANDAK BARAT,CILANDAK,JAKARTA SELATAN;21;RS Swasta;DPK;DEPOK;;;JAKARTA SELATAN;12430;01.788.139.2-054.000;RS SILOAM GROUP
1065422;PT. BERKAT MAHKOTA PUTRA;PERGUDANGAN TAMAN TEKNO BSD CITY BLOK K-02 NO. 19-20;11;Pedagang Besar Farmasi;DPK;DEPOK;;;TANGERANG SELATAN;15314;73.726.638.7-411.000;
1071779;AP. PRIMA FARMA (SIRSAK);JL. SIRSAK NO. 28 RT 009 RW 001,JAGAKARSA,JAKARTA SELATAN;14;Apotek;DPK;DEPOK;;;JAKARTA SELATAN;12620;47.831.600.3-017.000;
1019360;AP. TUMINTING FARMA;JL. SANTIAGO NO. 114 KEC. TUMINTING MANADO;14;Apotek;MNO;MANADO;;;MANADO;95239;82.884.852.3-821.000;
969490;PT. INTI CAKRAWALA CITRA;JL. AA. MARAMIS NO. 15 KELURAHAN PANIKI SATU LINGKUNGAN I MAPANGET;46;Supermarket - NKA;MNO;MANADO;;;MANADO;95258;01.781.214.0-046.000;INDO GROSIR
258477;AP. SEHAT;JL.MAY.SALIM BATUBARA 65.G SEKIP JAYA KEMUNING PALEMBANG;14;Apotek;PLB;PALEMBANG;;;PALEMBANG;30126;08.427.650.0-301.000;
994414;AP BOROBUDUR;JL.PASAR BARU NO.26/81 RT.12 RW.04 16 ILIR ILIR TIMUR I PALEMBANG;14;Apotek;PLB;PALEMBANG;;;PALEMBANG;30122;07.442.928.3-306.000;
1073633;RS RSIA PRIMA QONITA;JL PAHLAWAN KEMARUNG NO 27 RT 007 RW 003 PASAR BARU BATURAJA TIMUR KAB OGAN KOMERING ULU SUMATERA SE;21;RS Swasta;PLB;PALEMBANG;;;OGAN KOMERING ULU;32111;84.334.293.2-302.000;
258708;AP. MAGGHA MULIA;JL.DEMPO LUAR NO.408 PALEMBANG;14;Apotek;PLB;PALEMBANG;81532538117;;PALEMBANG;30124;03.023.940.4-301.000;
902828;AP YUVITA FARMA;JL.DR.SUTOMO NO.47 BATURAJA TIMUR BATURAJA;14;Apotek;PLB;PALEMBANG;;;OGAN KOMERING ULU;32116;87.679.006.4-302.000;
758027;RS. GUNUNG MARIA;JL. SEJAHTERA NO 282 KOLONGAN RS GUNUNG MARIA TOMOHON TENGAH TOMOHON;21;RS Swasta;MNO;MANADO;;;TOMOHON;.;03.180.723.3-821.000;
1386242;AP. KIMIA FARMA TEBET RAYA;JL.TEBET RAYA NO.17 RT.20 RW.01;16;Apotek Chain;PJT;PEJATEN;;;JAKARTA SELATAN;12810;01.061.227.3-051.000;
941123;AP. ADIKA;JL. IR.H.JUANDA 306, BANDUNG;14;Apotek;BD2;BANDUNG-2;;;BANDUNG;40135;06.268.333.9-444.000;
1062199;INDRAGIRI MART;JL. SULTAN NO. 271 KAMPUNG DAGANG, RENGAT, KABUPATEN INDRAGIRI HULU, RIAU;32;Toko Kelontong;PKB;PEKAN BARU;;;INDRAGIRI HULU;29313;07.318.325.3-213.000;
1030125;AP. SENTOSA;DESA HARAPAN RT. 04 RW. 05 AIR JAMBAN, MANDAU, BENGKALIS, RIAU;14;Apotek;PKB;PEKAN BARU;;;BENGKALIS;28784;07.344.793.0-219.000;
230349;AP. CEMPAKA;JL. CEMPAKA NO. 66 RT.003 RW.002 KEL. PADANG BULAN KEC. SENAPELAN;14;Apotek;PKB;PEKAN BARU;;;PEKANBARU;28156;72.858.215.6-211.000;
611442;AP. MUTIARA;JL. MERDEKA NO.40 TUNGKAL;14;Apotek;JBI;JAMBI;;;TANJUNG JABUNG BARAT;36552;14.694.213.1-334.000;
1051683;AP. MOJODUWUR JAYA;JL. SUMBERBOTO 127A MOJODUWUR MOJOWARNO JOMBANG;14;Apotek;SB1;SURABAYA-1;;;JOMBANG;61475;78.381.340.5-656.000;
1065423;AP. CETTA;JL.TRENGGANA NO.11 PENATIH DENPASAR TIMUR;14;Apotek;DPS;DENPASAR;;;DENPASAR;80238;55.260.772.3-908.000;
936779;AP. BENTAR 2;JL. REWWIN A NO 401 WARU SIDOARJO;14;Apotek;SB1;SURABAYA-1;;;SIDOARJO;61256;05.476.175.4-643.000;
941122;JBR - AP. BRANTAS;JL. DR. SOEBANDI RUKO KREONGAN PATRANG;14;Apotek;JBR;JEMBER;;;JEMBER;68111;26.525.775.8-626.000;
722266;KOP. PAS SRINADI II;JL. WATUKARU SEMARAPURA KANGIN SEMARAPURA KLUNGKUNG;42;Mini Market - Lokal;DPS;DENPASAR;;;KLUNGKUNG;80716;01.663.489.1-904.000;
408857;AP. ADIGUNA FARMA;JL MALUKU DENPASAR;14;Apotek;DPS;DENPASAR;;;DENPASAR;80114;77.159.395.1-901.000;
1274160;PT. DAYA MUDA AGUNG;JL. SOKA NO. 95, KESIMAN KERTALANGU, DENPASAR;68;Sub Distributor;DPS;DENPASAR;;;DENPASAR;80237;01.309.849.6-007.000;
921813;AP. GABRIEL;JL. KAPAS KRAMPUNG 134 RT.08 RW.03 PLOSO- TAMBAKSARI SURABAYA;14;Apotek;SB2;SURABAYA-2;;;SURABAYA;60136;25.937.244.9-619.000;
1053375;AP. ADHEEVA FARMA;MLAGEN RT. 005 RW. 002 MLAGEN, PAMOTAN, REMBANG;14;Apotek;KDS;KUDUS;;;REMBANG;59261;81.132.799.8-507.000;
956841;AP. K-24 KAPASARI;JL. KAPASARI NO.110 KAPASARI, SURABAYA;16;Apotek Chain;SB2;SURABAYA-2;;;SURABAYA;60273;31.553.943.7-616.001;K-24 GROUP
639342;AP. K-24 CEMPAKA PUTIH;JL. CEMPAKA PUTIH RAYA NO.104 A CEMPAKA PUTIH TIMUR;16;Apotek Chain;JK1;JAKARTA-1;021-4250233;;JAKARTA PUSAT;10640;02.544.805.1-003.000;K-24 GROUP
587491;PT. INDOMARCO PRISMATAMA;JL. INDUSTRI DSN I NO. 60 TJ. MORAWA B;49;Mini Market - NKA;MDN;MEDAN;;;DELI SERDANG;20362;01.337.994.6-092.000;INDOMARCO GROUP
1025580;AP. PERINTIS;JL. KURIPAN NO. 30 C RT. 003 RW. 001 BANJARMASIN;14;Apotek;BMS;BANJARMASIN;;;BANJARMASIN;70236;82.497.344.0-731.000;
33812;PT. BENTARA KARTIKA BAKTI_RS. SATYA NEGARA;JL. AGUNG UTARA RAYA BLOK A.1, SUNTER AGUNG. JAKARTA UTARA;21;RS Swasta;JK1;JAKARTA-1;;;JAKARTA UTARA;14350;01.364.797.9-046.000;
991455;AP. K-24 MANUKAN TAMA;JL. MANUKAN TAMA NO.149 LAKARSANTRI, SURABAYA;16;Apotek Chain;SB2;SURABAYA-2;;;SURABAYA;60185;03.125.792.6-609.000;K-24 GROUP
1375235;AP. K-24 TANAH MERAH;JL. RAYA TANAH MERAH NO.148 TANAH MERAH, BANGKALAN;16;Apotek Chain;SB2;SURABAYA-2;;;BANGKALAN;69172;96.074.592.5-644.000;K-24 GROUP
1083169;AP. K-24 PONDOK KELAPA;JL. RAYA PONDOK KELAPA BLOK E10 NO. 2 KAMPUNG TENGAH, KRAMAT JATI;16;Apotek Chain;JK1;JAKARTA-1;;;JAKARTA TIMUR;13540;92.496.154.3-003.000;K-24 GROUP
897099;AP. ANUGRAH;JL. BABARSARI  88 TAMBAKBAYAN CATURTUNGGAL DEPOK SLEMAN;14;Apotek;YOG;YOGYAKARTA;;;Depok;55281;98.443.487.8-541.000;
1043428;AP K24 GODEAN WONOSOBO;JL. TUMENGGUNG JOGONEGORO NO. 15B GODEAN WONOSOBO;16;Apotek Chain;YOG;YOGYAKARTA;;;WONOSOBO;56311;85.157.960.7-533.000;K-24 GROUP
1001479;AP. RATIH FARMA KARANGMOJO;PLUMBONG, GEDANGREJO, KARANGMOJO, WONOSARI;14;Apotek;YOG;YOGYAKARTA;;;KARANGMOJO;55891;24.640.986.6-545.000;
558847;PT. INDOMARCO PRISMATAMA;JL.RINGROAD BARAT NO.99 RW26,TRIHANGGO,GAMPING,SLEMAN;49;Mini Market - NKA;YOG;YOGYAKARTA;;;GAMPING;55291;01.337.994.6-092.000;INDOMARCO GROUP
1063462;PT. INTI CAKRAWALA CITRA;JL. SOEKARNO HATTA KEL. KAMPUNG BARU RAYA KEC. LABUHAN RATU KOTA BANDAR LAMPUNG;46;Supermarket - NKA;BDL;BANDAR LAMPUNG;;;BANDAR LAMPUNG;35142;;INDO GROSIR
86734;AP. SARIKA;JL. LAMPERSARI 31, SMG;14;Apotek;SMG;SEMARANG;;;SEMARANG;50249;01.457.052.7-508.000;
1034285;AP. SETIA;JL HASANUDIN NO.75 KEL. BANDAR JAYA BARAT KEC. TERBANGGI BESAR KAB. LAMPUNG TENGAH;14;Apotek;BDL;BANDAR LAMPUNG;;;LAMPUNG TENGAH;34163;07.085.936.8-321.000;
92119;PT.ADAPERKASASAHITAGUNA-SB;JL. SOEGIYOPRANOTO 58-60, SMG.;41;Supermarket - LKA;SMG;SEMARANG;;;SEMARANG;50263;01.496.823.4.511.000;ADA SUPERMARKET
358738;TK TUNAS BARU;JL IMAM BONJOL NO.65 LK II SUKAJAWA TANJUNG KARANG;32;Toko Kelontong;BDL;BANDAR LAMPUNG;;;METRO;34111;;
1051815;AP. KIMIA FARMA AMBARAWA;JL. JEND. SUDIRMAN NO.88 C, KUPANG, AMBARAWA, KAB.SEMARANG;16;Apotek Chain;SMG;SEMARANG;;;KABUPATEN SEMARANG;50612;01.061.227.3-051.000;KIMIA FARMA GROUP
501764;AP. KIMIA FARMA 62;JLN. KESEHATAN KOMP RSUD DOK II JAYAPURA;16;Apotek Chain;JPU;JAYAPURA;;;JAYAPURA;99112;01.061.227.3-051.000;KIMIA FARMA GROUP
1057064;AP. ALMIRA FARMA;JL. RAYA NGAWI - KERTEN NO. 65 KEL. TEGUHAN KEC. PARON KAB. NGAWI;14;Apotek;KDR;KEDIRI;;;NGAWI;63253;82.627.615.6-646.000;
464835;AP. YASA;JL. DR. SEMERU NO.84 - BOGOR;14;Apotek;BGR;BOGOR;;;BOGOR;16310;01.476.735.4.404.000;
913203;AP. HIKMAH FARMA;JL. GAJAHMADA NO 8 B, BATANG;14;Apotek;TGL;TEGAL;;;BATANG;51211;02.254.856.4-513.000;
1050400;AP. 24 JAM MEJASEM;JL. PALA BARAT RT 03 RW 19 KEL. MEJASEM BARAT KEC. KRAMAT KAB. TEGAL;14;Apotek;TGL;TEGAL;;;KAB.TEGAL;52181;31.789.743.7-501.000;
306442;AP. GAJAH MADA TIRTA FARMA;JL. GAJAHMADA NO. 35     TEGAL;14;Apotek;TGL;TEGAL;;;TEGAL;52121;01.527.660.3.501.000;
450116;AP. DEWI FARMA;JL. ASEM TIGA NO.40 KRATON;14;Apotek;TGL;TEGAL;;;TEGAL;52112;05.978.723.4-501.000;
616549;RS.SILOAM INTERNATIONAL (PT.SILOAM INTERNATIONAL H;JL. SILOAM NO. 6 LIPPO KARAWACI KELAPA DUA;21;RS Swasta;TGR;TANGERANG;;;TANGERANG;15810;01.788.139.2-054.000;RS SILOAM GROUP
281675;AP. VINDI FARMA;JL. KOMPLEKS PERTOKOAN AJIBARANG WETAN  KIOS NO.05 AJIBARANG BMS;14;Apotek;PWK;PURWOKERTO;;;BANYUMAS;53163;08.874.930.4-521.000;
1014054;TK. GAMAS;JL. RY. GANDRUNGMANGU RT.4/1 GANDRUNGMANGU CLP;42;Mini Market - Lokal;PWK;PURWOKERTO;;;CILACAP;53254;71.786.394.8-522.000;
922724;AP. CIMAYA;JL. SITI JENAB NO.71 RT 003 RW 007, PAMOYANAN, CIANJUR, JAWA BARAT;14;Apotek;SKI;SUKABUMI;;;CIANJUR;43211;54.013.972.2-406.000;
977079;AP. BHAKTI MEDIKA FARMA;JL. M. TOHA NO. 77 CIGERELENG REGOL BANDUNG;14;Apotek;BDG;BANDUNG;;;BANDUNG;40253;21.146.721.2-424.000;
49002;PT.LION SUPER INDO..;LSI UJUNG ASPAL, JL. RAYA HANKAM RT 004/RW 02, JATI RANGON, JATI SAMPURNA;46;Supermarket - NKA;JK3;JAKARTA-3;;;BEKASI;17432;01.781.372.6-046.000;LION SUPER GROUP
1074169;AP. KIMIA FARMA TODDOPULI;JL. TODDOPULI RAYA TIMUR NO. 117, MAKASSAR;16;Apotek Chain;MKS;MAKASSAR;;;MAKASSAR;90233;01.061.227.3-051.000;KIMIA FARMA GROUP
987020;AP. ARWANA;JL. SUNGAI RAYA DALAM, KOMPLEK MUTIARA ALAM BLOK B-8, RT. 001/ RW. 002, SUNGAI RAYA;14;Apotek;PTK;PONTIANAK;;;KUBU RAYA;78234;48.647.854.8-701.000;
1067228;AP. SALEWANGAN;JL LANTO DG PASEWANG NO.14 MAROS;14;Apotek;MKS;MAKASSAR;;;MAROS;90511;70.153.548.6-809.000;
935648;MM. IRWAN;JL. RANCAPASIR PASIR NO 5 BUNGUR PURWADADI SUBANG;42;Mini Market - Lokal;BDG;BANDUNG;;;SUBANG;41261;;
1252177;AP. GIRI HUSADA;JL. PEMUDA NO. 6 GIRIPURWO, WONOGIRI, KAB. WONOGIRI, JAWA TENGAH;14;Apotek;SLO;SOLO;;;WONOGIRI;57612;94.590.353.2-532.000;
197565;AP. BUNDA;JL. YOSODIPURO NO.146 SOLO;14;Apotek;SLO;SOLO;;;SURAKARTA (SOLO);57139;02.951.228.2-526.000;
1074259;KLINIK SURYA MEDIKA;JL. KELAPA DUA WETAN NO.22 RT001/008;72;Klinik;DPK;DEPOK;;;JAKARTA TIMUR;13730;83.091.159.0-009.000;
1062456;PT. EKAMAS INTERNATIONAL HOSPITAL (RS. EKA HOSPITA;PERUM KOTA WISATA KAV V2 DESA NAGRAK ;21;RS Swasta;DPK;DEPOK;;;BOGOR;16967;21.000.263.0-218.000;
878599;AP. AZIDA FARMA;JL. MEDAN-BANDA ACEH, KUTABLANG, IDI RAYEUK;14;Apotek;LSE;LHOKSEUMAWE;;;IDI;24454;16.631.513.5-105.000;
996124;RS. PERMATA CIBUBUR;JLN. ALTERNATIF CIBUBUR CILEUNGSI;21;RS Swasta;DPK;DEPOK;;;BOGOR;16820;02.071.015.8-431.000;
1062104;AP TENI FARMA;JL TALANG JAMBE RT 020 RW 006 TALANG JAMBE SUKARAMI PALEMBANG;14;Apotek;PLB;PALEMBANG;;;PALEMBANG;30151;91.527.880.8-303.000;
402379;RS. MYRIA;JL.KOL.H.BURLIAN KM.7 PALEMBANG;21;RS Swasta;PLB;PALEMBANG;;;PALEMBANG;30152;01.130.189.2-308.000;RS CHARISTAS GROUP
1317234;AP. BAHJAH MEDIKA;JL MAYORM RHODY DUSUN V LINGGA LAWANG KIDUL MUARAENIM SUMATERA SELATAN;14;Apotek;PLB;PALEMBANG;;;MUARA ENIM;31711;75.050.094.4-313.000;
1006369;AP. K-24 CONDET;JL. CONDET RAYA NO. 103A KRAMAT JATI;16;Apotek Chain;PJT;PEJATEN;;;JAKARTA TIMUR;13520;02.723.384.0-005.000;K-24 GROUP
1282163;AP. YETA FARMA II;JL. PINTU II NO. 1, JAKARTA TIMUR DKI JAKARTA 13560, INDONESIA;14;Apotek;PJT;PEJATEN;;;JAKARTA TIMUR;13560;96.746.926.3-008.000;
1069984;AP. MEDIKA FARMA;JL. TANJUNG RAYA 2 NO 7, PONTIANAK;14;Apotek;PTK;PONTIANAK;;;PONTIANAK;78234;16.693.898.5-706.000;
287805;AP. HUSADA;JL. LETJEND SUPRAPTO RT.5/69 KAMPUNG BARU BALIKPAPAN;14;Apotek;BPP;BALIKPAPAN;542-746888;;BALIKPAPAN;76283;06.079.121.7.721.000;
159365;PT. SUMBER ALFARIA TRIJAYA TBK.;JL. RAYA SUKODONO 45 KEBOANSIKEP SIDOARJO;49;Mini Market - NKA;SB1;SURABAYA-1;;;SIDOARJO;61254;01.336.238.9.054.000;PT. SUMBER ALFARIA
973388;AP. TAMAN NAHLA;JL. ABDI PRAJA BLOK 1 E RT.24;14;Apotek;BPP;BALIKPAPAN;;;BALIKPAPAN;76115;14.683.450.2-721.000;
1328180;AP. PRIMA WALUYA;JALAN ARUNA NO 33 RUKO H RT. 002 RW. 003 HUSEN SASTRANEGARA CICENDO;14;Apotek;BD2;BANDUNG-2;;;BANDUNG;40174;96.389.433.2-428.000;
900316;PT. SUMBER ALFARIA TRIJAYA, TBK;JL. LINTAS PALEMBANG -JAMBI KM.13,8;49;Mini Market - NKA;JBI;JAMBI;;;MUARO JAMBI;36361;01.336.238.9-054.000;PT. SUMBER ALFARIA
1119269;AP. MULIA CIKUMPAY;JL. RAYA SADANG SUBANG KP PASAR MINGGU RT. 003 RW. 001 CIKUMPAY CAMPAKA KAB. PURWAKARTA JAWA BARAT;14;Apotek;BD2;BANDUNG-2;;;PURWAKARTA;41181;93.105.458.9-409.000;
852711;AP. NAURA FARMA;JL. AIR DINGIN NO. 30, MARPOYAN - PEKANBARU;14;Apotek;PKB;PEKAN BARU;;;PEKANBARU;28282;88.419.072.9-211.000;
1180198;AP. KASIH;JL. ADI SUCIPTO NO. 90 A, SIDOMULYO TIMUR, MARPOYAN DAMAI, PEKANBARU, RIAU;14;Apotek;PKB;PEKAN BARU;;;PEKANBARU;28125;83.791.644.4-216.000;
958995;AP. SIWALAN;JL. SIWALANKERTO TIMUR NO. 141E WONOCOLO SURABAYA;14;Apotek;SB1;SURABAYA-1;;;SURABAYA;60236;08.628.830.5-609.001;
936823;RSK.ST.VINCENTIUS A PAULO (YAY.ARNOLDUS);JL. DIPONEGORO NO. 51 DARMO WONOKRMO SURABAYA;21;RS Swasta;SB1;SURABAYA-1;;;SURABAYA;60264;01.108.962.0.631.000;
1073165;AP. K-24 SIDAKARYA;JL MERTASARI SIDAKARYA DENPASAR SELATAN KOTA DENPASAR BALI;16;Apotek Chain;DPS;DENPASAR;;;DENPASAR;80225;93.609.520.7-903.000;K-24 GROUP
408695;AP. RAMA;JL GN.SANGHYANG 144 KEROBOKAN;14;Apotek;DPS;DENPASAR;;;DENPASAR;80119;07.039.394.7-906.000;
158895;AP. BUANA FARMA;JL. TRUNOJOYO 81 JEMBER;14;Apotek;JBR;JEMBER;;;JEMBER;68137;07.902.099.6.626.000;
668004;AP. ORYZA;JL. HOS COKRO AMINOTO NO. 02 KALISAT;14;Apotek;JBR;JEMBER;;;JEMBER;68193;57.177.987.5-626.000;
871313;JBR-PT. NUSANTARA MEDIKA UTAMA - RS. PERKEBUNAN;JL. BEDADUNG 2 JEMBER;28;RS BUMN;JBR;JEMBER;;;JEMBER;68118;01.061.398.2-051.000;
1060295;AP. KIMIA FARMA SUKOMULYO;JL. KALIMANTAN NO.17 SUKOMULYO, MANYAR, GRESIK;16;Apotek Chain;SB2;SURABAYA-2;;;GRESIK;61151;01.061.227.3-051.000;KIMIA FARMA GROUP
1286200;AP. GITA FARMA;JL.BUNGA LAU NO 46-48, SEMPAKATA - MEDAN SELAYANG;14;Apotek;MDN;MEDAN;;;MEDAN;20132;96.865.466.5-121.000;
568045;AP. BUANA;JL. TRANS SULAWESI TOLAI;14;Apotek;PLU;PALU;;;PARIGI MOUTONG;94473;07.728.512.0-831.000;
678144;AP. ANUGRAH FARMA;JL. ANDI DEPU, PASANG KAYU;14;Apotek;PLU;PALU;;;MAMUJU UTARA;91571;15.143.888.4-814.000;
953917;AP. MK FARMA;JL. PANGLIMA AIM, NO. 89, TANJUNG HULU, PONTIANAK;14;Apotek;PTK;PONTIANAK;;;PONTIANAK;78137;16.693.898.5-706.000;
954531;AP.SUKARAMAI;JL.AR.HAKIM NO.166, TEGAL SARI I - MEDAN AREA;14;Apotek;MDN;MEDAN;;;MEDAN;20226;71.821.715.1-122.000;
336829;AP.  GALUH;GATOT SUBROTO NO2 BANJARMASIN;14;Apotek;BMS;BANJARMASIN;;;BANJARMASIN;70235;08.367.714.6.731.000;
643150;AP. LIVINA;JL.KARANG ANYAR, KOMP. BALITAN 4 BLOK C NO.3 BANJARBARU;14;Apotek;BMS;BANJARMASIN;;;BANJARBARU;70712;;
907533;AP. PATI;JL. KEMBANG JOYO 169, PATI;14;Apotek;KDS;KUDUS;;;PATI;59117;02.069.635.7-507.001;
1029650;AP. PUTRI MAPAN;JL. DIENG KM 9 PERTIGAAN SINDORO;14;Apotek;YOG;YOGYAKARTA;;;Garung;56353;83.218.000.4-533.000;
720055;TK. BANGKIT MART;JL.SAPURAN PURWOREJO SEBELAH ALUN-ALUN SAPURAN WONOSOBO;32;Toko Kelontong;YOG;YOGYAKARTA;;;Sapuran;56373;;
1064075;AP. HALLOTA FARMA;JL. WR. SUPRATMAN NO.114 TAMBAK REJO, PURWOREJO, TAMBAK, PURWOREJO;14;Apotek;YOG;YOGYAKARTA;;;Purworejo;54118;72.807.168.9-531.000;
536672;AP. NUSANTARA BARU;JLN. KOTARAJA DALAM KEL.VIM DISTRIK ABEPURA;14;Apotek;JPU;JAYAPURA;;;JAYAPURA;99351;07.754.477.3.952.000;
1025349;AP.ENGGAL;JL. RADEN INTAN NO.122 PELITA ENGGAL KOTA BANDAR LAMPUNG;14;Apotek;BDL;BANDAR LAMPUNG;;;BANDAR LAMPUNG;35111;84.374.355.0-322.000;
502054;AP. MURAH FARMA;JL. BERDIKARI NO 2 JAYAPURA;14;Apotek;JPU;JAYAPURA;;;JAYAPURA;99111;07.751.774.6.952.000;
1066241;AP. UNGU 2;JL. PANGERAN ASSOGIRI RT 001 RW 005 KEL. TANAH BARU KEC. BOGOR UTARA, BOGOR;14;Apotek;BGR;BOGOR;;;BOGOR;16155;73.680.959.1-005.000;
